task_id,constraint_type,selection_score,developer_correct,developer_status,baseline_correct,baseline_adherent,baseline_joint_outcome,baseline_total_tokens,experimental_correct,experimental_adherent,experimental_joint_outcome,experimental_total_tokens,baseline_method,experimental_method
HumanEval/123,Efficiency,15.715,True,passed,True,False,correct_not_adherent,303,True,False,correct_not_adherent,604,deterministic_static_heuristic,deterministic_static_heuristic
HumanEval/12,Structural,15.673,True,passed,True,False,correct_not_adherent,422,True,False,correct_not_adherent,557,deterministic_ast,deterministic_ast
HumanEval/124,Structural,15.607,True,passed,True,False,correct_not_adherent,741,True,False,correct_not_adherent,1117,deterministic_ast,deterministic_ast
HumanEval/127,Efficiency,15.602,True,passed,True,True,correct_and_adherent,330,True,True,correct_and_adherent,692,deterministic_static_heuristic,deterministic_static_heuristic
HumanEval/46,Efficiency,15.485,True,passed,True,True,correct_and_adherent,744,True,True,correct_and_adherent,843,deterministic_static_heuristic,deterministic_static_heuristic
HumanEval/63,Negative,15.341,True,passed,True,False,correct_not_adherent,558,True,False,correct_not_adherent,752,llm_judge,llm_judge
HumanEval/126,Structural,15.307,True,passed,True,False,correct_not_adherent,429,True,False,correct_not_adherent,740,deterministic_ast,deterministic_ast
HumanEval/44,Efficiency,15.295,True,passed,True,True,correct_and_adherent,396,True,True,correct_and_adherent,542,deterministic_static_heuristic,deterministic_static_heuristic
HumanEval/141,Structural,15.053,True,passed,True,False,correct_not_adherent,439,True,False,correct_not_adherent,794,deterministic_ast,deterministic_ast
HumanEval/17,Negative,14.992,False,runtime_error,True,True,correct_and_adherent,420,True,False,correct_not_adherent,643,llm_judge,llm_judge
HumanEval/20,Efficiency,14.931,True,passed,True,False,correct_not_adherent,591,True,False,correct_not_adherent,808,deterministic_static_heuristic,deterministic_static_heuristic
HumanEval/64,Efficiency,14.857,True,passed,True,True,correct_and_adherent,551,True,True,correct_and_adherent,750,deterministic_static_heuristic,deterministic_static_heuristic
HumanEval/107,Negative,14.788,True,passed,True,False,correct_not_adherent,330,True,False,correct_not_adherent,611,llm_judge,llm_judge
HumanEval/8,Efficiency,14.75,True,passed,True,True,correct_and_adherent,356,True,True,correct_and_adherent,520,deterministic_static_heuristic,deterministic_static_heuristic
HumanEval/69,Structural,14.652,True,passed,True,False,correct_not_adherent,434,True,False,correct_not_adherent,638,deterministic_ast,deterministic_ast
HumanEval/148,Structural,14.578,True,passed,True,False,correct_not_adherent,434,True,False,correct_not_adherent,732,deterministic_ast,deterministic_ast
HumanEval/117,Structural,14.557,True,passed,True,False,correct_not_adherent,521,True,False,correct_not_adherent,742,deterministic_ast,deterministic_ast
